City_ID,City,Country,Max Temperature,Current Description,Lat,Lng,Hotel Name
356,Mossamedes,AO,77.76,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
357,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
358,Natal,BR,84.85,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
366,Distrikt Brokopondo,SR,80.64,broken clouds,4.75,-55.1667,Matu Island
368,Hervey Bay,AU,71.71,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
369,Kawalu,ID,73.76,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
375,Bubaque,GW,78.44,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
377,Mchinji,MW,73.08,light rain,-13.7984,32.8802,Kayesa Inn
378,Toro,CO,71.53,overcast clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
386,Plácido de Castro,BR,85.62,overcast clouds,-10.3353,-67.1856,Hotel Carioca
388,Nsanje,MW,86.61,light rain,-16.92,35.262,Nsanje Discovery Lodge
389,Camopi,GF,81.14,broken clouds,3.1655,-52.3158,La pousada
396,Sechura,PE,74.71,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
397,Kulhudhuffushi,MV,81.59,clear sky,6.6221,73.07,Haajy Guest House 1
399,Moree,AU,77.02,broken clouds,-29.4667,149.85,Molika Springs Motel
411,Biltine,TD,83.52,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
413,San Policarpo,PH,79.39,overcast clouds,12.1791,125.5072,Agapita M. Nicart
416,Inhambane,MZ,83.3,clear sky,-23.865,35.3833,Oceano
422,Lubao,PH,82.15,overcast clouds,14.9167,120.55,Hacienda Gracia
423,Cururupu,BR,75.63,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
426,Inírida,CO,84.16,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
433,La Asuncion,VE,77.79,few clouds,11.0333,-63.8628,Colinas de Matasiete
438,Yulara,AU,84.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
442,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
443,Coahuayana Viejo,MX,76.48,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
444,Sibolga,ID,78.22,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
449,Koungou,YT,80.31,light rain,-12.7336,45.2042,Villa Netibor
450,Singaraja,ID,77.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
458,Barranca,PE,70.36,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
459,Caculé,BR,82.8,scattered clouds,-14.5033,-42.2222,Radar Palace Hotel
460,Redenção,BR,81.59,broken clouds,-4.2258,-38.7306,Hotel Fazenda Boa Vista
462,Sokoni,TZ,81.36,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
464,Atambua,ID,75.38,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
465,Mercedes,AR,73.76,clear sky,-34.6515,-59.4307,Posada del Inti Centro
471,Maragogi,BR,85.55,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
472,Camocim,BR,75.69,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
476,Camaná,PE,72.36,scattered clouds,-16.6228,-72.7111,Hostal Morales
481,Byron Bay,AU,73.87,scattered clouds,-28.65,153.6167,Backpackers Inn
487,Waingapu,ID,79.65,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
488,Tiarei,PF,77.02,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
490,Kralendijk,BQ,84.18,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
493,Presidencia Roque Sáenz Peña,AR,84.96,clear sky,-26.7852,-60.4388,Hotel Gualok
495,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
498,Porto Velho,BR,78.85,broken clouds,-8.7619,-63.9039,Hotel Central
499,Arlit,NE,79.66,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
509,Miracatu,BR,72.28,overcast clouds,-24.2814,-47.4597,Hotel Van Monet
520,Sibu,MY,73.72,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
524,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
525,Bonthe,SL,88.45,broken clouds,7.5264,-12.505,Bonthe Holiday Village
527,Sydney,AU,74.71,few clouds,-33.8679,151.2073,The Grace Sydney
530,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
531,Grand-Lahou,CI,87.3,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
532,Kwang Binh,VN,70.99,broken clouds,17.4833,106.6,Nam Long Hotel
535,Mana,GF,80.24,broken clouds,5.6592,-53.7767,LE SAMANA
538,Itupiranga,BR,80.92,overcast clouds,-5.1347,-49.3267,Hotel Panorama
543,Poum,NC,81.75,overcast clouds,-20.2333,164.0167,Gîte kajeon
551,Sainte-Marie,RE,82.53,few clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
556,Aragarças,BR,79.77,overcast clouds,-15.8975,-52.2508,Hotel Pousada Tropical
