City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Cedar City,US,2022-01-25 10:02:34,37.6775,-113.0619,36.39,47,40,10.36
260,Skibbereen,IE,2022-01-25 10:06:54,51.55,-9.2667,46.2,75,100,3.24
261,Baghdad,IQ,2022-01-25 10:02:30,33.3406,44.4009,61.95,27,0,5.37
262,Henties Bay,NA,2022-01-25 10:06:54,-22.116,14.2845,74.86,63,1,12.55
263,Kankan,GN,2022-01-25 10:06:55,10.3854,-9.3057,79.45,11,73,9.62
264,Atasu,KZ,2022-01-25 10:06:55,48.6814,71.6433,12.11,86,5,2.13
265,San Miguel,SV,2022-01-25 10:06:55,13.4833,-88.1833,69.57,80,27,1.74
266,San Jose,US,2022-01-25 10:05:21,37.3394,-121.895,51.85,76,0,0.0
267,Tsagan Aman,RU,2022-01-25 10:06:56,47.5639,46.7218,30.9,94,100,2.08
268,Ngunguru,NZ,2022-01-25 10:06:56,-35.6167,174.5,67.15,89,76,7.85
269,Akyab,MM,2022-01-25 10:06:57,20.15,92.9,77.58,62,10,9.46
270,Charleston,US,2022-01-25 10:04:00,32.7766,-79.9309,47.01,86,40,1.99
271,Fortuna,US,2022-01-25 10:06:57,40.5982,-124.1573,46.65,94,0,1.99
272,Piacabucu,BR,2022-01-25 10:06:57,-10.4056,-36.4344,79.16,77,99,8.41
273,Komsomolskiy,UZ,2022-01-25 10:06:58,40.4272,71.7189,40.42,31,46,2.75
274,Caravelas,BR,2022-01-25 10:06:58,-17.7125,-39.2481,73.02,94,100,4.36
275,Ca Mau,VN,2022-01-25 10:07:59,9.1769,105.15,82.87,64,87,7.56
276,Bambous Virieux,MU,2022-01-25 10:07:59,-20.3428,57.7575,84.22,54,94,15.7
277,Abha,SA,2022-01-25 10:07:59,18.2164,42.5053,71.85,25,0,9.22
278,Nanortalik,GL,2022-01-25 10:08:00,60.1432,-45.2371,20.21,76,94,1.86
279,Nyimba,ZM,2022-01-25 10:08:00,-14.5566,30.8149,67.93,98,100,6.91
280,Estrela,BR,2022-01-25 10:08:00,-28.0611,-50.9383,66.18,98,35,5.01
281,Zyryanka,RU,2022-01-25 10:08:01,65.75,150.85,-34.98,100,97,6.15
282,Morant Bay,JM,2022-01-25 10:08:01,17.8815,-76.4093,70.63,80,0,6.26
283,Ambatondrazaka,MG,2022-01-25 10:08:01,-17.8333,48.4167,68.88,94,100,4.36
284,Guaraciaba Do Norte,BR,2022-01-25 10:08:02,-4.1669,-40.7475,66.36,83,100,2.95
285,Yuksekova,TR,2022-01-25 10:08:02,37.5736,44.2872,26.35,86,20,1.14
286,Kahului,US,2022-01-25 10:06:28,20.8947,-156.47,72.84,83,40,6.91
287,Comodoro Rivadavia,AR,2022-01-25 10:08:03,-45.8667,-67.5,58.86,51,0,20.71
288,Juegang,CN,2022-01-25 10:08:03,32.3174,121.1855,41.92,74,100,6.62
289,Katsuura,JP,2022-01-25 10:08:04,35.1333,140.3,46.11,84,100,9.44
290,Bathsheba,BB,2022-01-25 10:08:04,13.2167,-59.5167,75.81,78,40,16.11
